사랑 섹스
호랑이 고양이
호랑이 호랑이
책 종이
컴퓨터 키보드
컴퓨터 인터넷
비행기 자동차
기차 자동차
전화기 의사소통
텔레비전 라디오
미디어 라디오
약물 남용
빵 버터
오이 감자
의사 간호사
교수 의사
학생 교수
영리한 학생
영리한 멍청한
회사 주식
주식 시장
주식 전화기
재고품 저장장치
재고품 재규어
주식 달걀
생식력 달걀
가축 생명
재고품 삶
책 도서관
은행 돈
나무 숲
돈 현금
교수 오이
왕 배추
왕 여왕
왕 장군
주교 목사
예루살렘 이스라엘
예루살렘 팔레스타인
성스러운 섹스
성관계 섹스
마라도나 미식축구
미식축구 축구
미식축구 농구
미식축구 테니스
테니스 라켓
안중근 평화
안중근 테러
안중근 싸이
법 변호사
영화 스타
영화 팝콘
영화 비평
영화 영화관
물리학 양성자
물리학 화학
우주 화학
알콜 화학
보드카 진
보드카 브랜디
음료 자동차
음료 귀
마시다 입
마시다 먹다
아기 엄마
마시다 엄마
자동차 차량
원석 보석
여행 여정
소년 사내
해안 해변
수용소 정신병원
마술사 마법사
한낮 정오
보일러 난로
음식 과일
새 수탉
새 두루미
도구 구현하다
형제 수도승
두루미 구현하다
사내 형제
여정 자동차
수도승 신탁
묘지 산림
음식 수탉
해안 언덕
숲 무덤
해변 산림
수도승 노예
해안 숲
사내 마법사
화음 미소
유리잔 마술사
정오 끈
수탉 여행
돈 달러
돈 현금
돈 화폐
돈 부
돈 재산
돈 소유물
돈 은행
돈 예금
돈 출금
돈 세탁
돈 조작
호랑이 재규어
호랑이 고양이과
호랑이 육식동물
호랑이 포유류
호랑이 짐승
호랑이 유기체
호랑이 동물
호랑이 동물원
심리학 정신과
심리학 불안
심리학 공포
심리학 우울
심리학 클리닉
심리학 의사
심리학 프로이드
심리학 마음
심리학 건강
심리학 과학
심리학 학문
심리학 인지
행성 별
행성 별자리
행성 보름달
행성 태양
행성 은하계
행성 우주
행성 우주인
전례 예시
전례 정보
전례 인지
선례 법
선례 수집품
선례 집단
선례 선행사건
컵 커피
컵 식기
컵 기사
컵 공예품
컵 물체
컵 개체
컵 음료
컵 음식
컵 물질
컵 액체
재규어 고양이
재규어 자동차
에너지 비서
비서 국회위원
에너지 연구실
컴퓨터 연구실
무기 비밀
국정원 지문
국정원 수사
수사 노력
화성 물
화성 과학자
뉴스 보도
협곡 지형
이미지 표면
발견 우주
물 누수
서명 휴정
수요일 뉴스
마일 킬로미터
컴퓨터 뉴스
영토 표면
대기권 지형
대통령 메달
전쟁 군대
기록 숫자
피부 눈
일본어 영어
영화관 역사
자원봉사자 좌우명
편견 인식
장식 용기
세기 연도
세기 민족
지연되다 인종주의
지연되다 뉴스
외교관 정당
평화 계획
소수자 평화
시도 평화
정부 위기
배치 출발
배치 후퇴
에너지 위기
발표 뉴스
발표 노력
뇌졸중 병원
장애 죽음
피해자 비상사태
치료 회복
저널 협회
의사 직원
의사 책임
책임 보험
학교 센터
이유 고혈압
이유 기준
백 퍼센트
연세대 고려대
병원 인프라
죽음 줄
죽음 수감자
변호사 증거
삶 죽음
삶 용어
단어 유사도
이사회 추천
도지사 인터뷰
석유수출기구 국가
평화 대기권
평화 보험
영토 킬로미터
여행 활동
경쟁 가격
소비자 확신
소비자 에너지
문제 공항
자동차 항공
신용 카드
신용 정보
호텔 예약
식료품 돈
등록 준비
준비 숙박
월 호텔
유형 종류
도착 호텔
침대 옷장
옷장 옷
상황 결론
상황 고립
중도 흥미
방향 조합
길거리 장소
길거리 대로
길거리 골목
길거리 아이들
목록 인접성
목록 범주
휴대 전화
생산 하이킹
기준 지표
미디어 거래
미디어 이득
배당금 지불
배당금 산출
산출 계산
화폐 시장
석유수출기구 석유
석유 재고품
발표 생산
발표 경고
이익 경고
이익 손실
달러 엔
달러 불
달러 이익
달러 손실
컴퓨터 소프트웨어
네트워크 하드웨어
전화 장비
장비 제작자
사치품 자동차
다섯 월
보도 이득
투자자 소득
액체 물
야구 계절
게임 승리
게임 팀
마라톤 달리기
게임 시리즈
게임 패배
일곱 시리즈
해산물 바다
해산물 음식
해산물 바닷가재
바닷가재 음식
바닷가재 와인
음식 준비
비디오 보관소
시작하다 연도
시작하다 경기
게임 라운드
권투 라운드
챔피언십 토너먼트
싸움 패배
선 보험
낮 여름
여름 가뭄
여름 자연
낮 새벽
자연 환경
환경 생태학
자연 남자
남자 여자
남자 도지사
살인 과실치사
막장 드라마
오페라 공연
삶 교훈
초점 삶
생산 승무원
텔레비전 영화
애인 언쟁
시청자 연속극
가능성 소녀
인구 개발
도덕 중요성
도덕 결혼
멕시코 브라질
성별 평등
변화 태도
가족 계획
오페라 산업
설탕 접근
연습 기관
정부 문화
문제 도전
크기 두각
국가 시민
행성 사람들
개발 이슈
경험 음악
음악 프로젝트
유리 금속
알루미늄 금속
기회 신용
전시회 기념품
콘서트 거장
락 재즈
박물관 영화관
관찰 구조
우주 세계
보존 세계
입장 티켓
소나기 태풍
소나기 홍수
날씨 예보
재난 지역
도지사 사무실
건축 세기
